@RELATION 'Shuttle, without duplicates, v09'

@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'yes','no'}

@DATA
51.0,23.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0,1362.0,'yes'
42.0,23.0,77.0,0.0,28.0,0.0,34.0,48.0,14.0,1808.0,'yes'
50.0,23.0,77.0,0.0,-22.0,0.0,27.0,101.0,74.0,2798.0,'yes'
42.0,22.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0,4765.0,'yes'
49.0,31.0,77.0,0.0,-22.0,0.0,28.0,101.0,72.0,4801.0,'yes'
48.0,45.0,77.0,0.0,-22.0,0.0,29.0,101.0,72.0,5744.0,'yes'
50.0,22.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0,7082.0,'yes'
42.0,23.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0,7530.0,'yes'
57.0,92.0,80.0,0.0,34.0,0.0,23.0,46.0,24.0,8186.0,'yes'
44.0,27.0,77.0,0.0,28.0,0.0,33.0,48.0,16.0,9932.0,'yes'
49.0,22.0,79.0,0.0,42.0,0.0,30.0,37.0,8.0,10532.0,'yes'
64.0,78.0,82.0,0.0,-42.0,-6.0,18.0,126.0,108.0,10946.0,'yes'
47.0,22.0,79.0,0.0,42.0,0.0,31.0,37.0,6.0,14178.0,'yes'
37.0,0.0,80.0,3.0,6.0,-20.0,43.0,75.0,32.0,7785.0,'no'
44.0,1.0,79.0,0.0,42.0,-25.0,35.0,37.0,2.0,9495.0,'no'
41.0,0.0,86.0,0.0,38.0,-22.0,45.0,48.0,2.0,11532.0,'no'
51.0,0.0,88.0,0.0,50.0,-13.0,37.0,39.0,2.0,13369.0,'no'
47.0,5.0,87.0,-1.0,46.0,0.0,40.0,41.0,0.0,7908.0,'no'
79.0,0.0,83.0,0.0,-42.0,-81.0,4.0,127.0,124.0,13571.0,'no'
51.0,0.0,81.0,0.0,52.0,21.0,30.0,30.0,0.0,5004.0,'no'
37.0,4.0,83.0,-3.0,34.0,0.0,45.0,49.0,4.0,3127.0,'no'
46.0,5.0,86.0,0.0,46.0,3.0,41.0,40.0,0.0,8610.0,'no'
44.0,0.0,81.0,0.0,42.0,-16.0,37.0,39.0,2.0,9023.0,'no'
37.0,0.0,81.0,-4.0,20.0,0.0,44.0,61.0,16.0,5151.0,'no'
37.0,0.0,96.0,3.0,12.0,-18.0,59.0,83.0,24.0,10465.0,'no'
46.0,-4.0,80.0,-1.0,46.0,0.0,34.0,34.0,0.0,2037.0,'no'
37.0,0.0,106.0,0.0,34.0,-28.0,69.0,72.0,4.0,2194.0,'no'
37.0,0.0,90.0,-1.0,20.0,31.0,53.0,70.0,16.0,10443.0,'no'
37.0,0.0,79.0,0.0,30.0,-1.0,43.0,48.0,6.0,11957.0,'no'
55.0,0.0,83.0,2.0,54.0,0.0,28.0,29.0,2.0,4645.0,'no'
38.0,-3.0,81.0,0.0,38.0,0.0,42.0,42.0,0.0,9091.0,'no'
46.0,-2.0,80.0,0.0,46.0,0.0,34.0,34.0,0.0,7554.0,'no'
49.0,-2.0,88.0,0.0,46.0,-28.0,39.0,41.0,2.0,396.0,'no'
51.0,0.0,86.0,0.0,52.0,29.0,36.0,35.0,0.0,2872.0,'no'
83.0,0.0,86.0,0.0,-4.0,25.0,3.0,92.0,88.0,11091.0,'no'
55.0,0.0,78.0,3.0,26.0,0.0,23.0,52.0,30.0,3637.0,'no'
47.0,-4.0,86.0,1.0,46.0,0.0,39.0,40.0,0.0,3781.0,'no'
45.0,4.0,81.0,-2.0,44.0,-2.0,36.0,37.0,2.0,14077.0,'no'
37.0,0.0,104.0,0.0,28.0,21.0,67.0,75.0,8.0,13532.0,'no'
37.0,-1.0,82.0,-3.0,36.0,-26.0,45.0,46.0,2.0,7976.0,'no'
49.0,-5.0,79.0,0.0,50.0,0.0,30.0,30.0,0.0,1149.0,'no'
43.0,0.0,76.0,0.0,42.0,-1.0,32.0,34.0,2.0,11963.0,'no'
43.0,-1.0,82.0,0.0,44.0,26.0,39.0,38.0,0.0,2896.0,'no'
43.0,0.0,83.0,-3.0,42.0,-12.0,40.0,42.0,2.0,10519.0,'no'
51.0,1.0,79.0,0.0,50.0,-22.0,27.0,30.0,2.0,2015.0,'no'
45.0,-5.0,78.0,0.0,44.0,0.0,33.0,34.0,2.0,1972.0,'no'
37.0,0.0,77.0,0.0,8.0,11.0,40.0,69.0,30.0,446.0,'no'
55.0,0.0,93.0,0.0,10.0,-18.0,37.0,82.0,46.0,5789.0,'no'
37.0,-5.0,77.0,0.0,28.0,0.0,40.0,48.0,8.0,11002.0,'no'
56.0,0.0,97.0,0.0,36.0,-16.0,41.0,60.0,20.0,14143.0,'no'
37.0,0.0,78.0,-2.0,34.0,-3.0,41.0,45.0,4.0,5645.0,'no'
47.0,-2.0,78.0,-1.0,46.0,0.0,31.0,32.0,0.0,8318.0,'no'
44.0,1.0,87.0,1.0,44.0,3.0,43.0,43.0,0.0,6670.0,'no'
108.0,1.0,109.0,0.0,72.0,1.0,1.0,36.0,36.0,12424.0,'no'
56.0,0.0,97.0,0.0,46.0,3.0,41.0,50.0,10.0,7382.0,'no'
44.0,0.0,77.0,-1.0,42.0,-16.0,33.0,35.0,2.0,2521.0,'no'
47.0,4.0,88.0,0.0,46.0,0.0,42.0,42.0,0.0,9960.0,'no'
37.0,0.0,78.0,0.0,-2.0,-12.0,42.0,81.0,40.0,11361.0,'no'
45.0,0.0,87.0,0.0,46.0,9.0,42.0,41.0,0.0,12946.0,'no'
48.0,-1.0,108.0,6.0,46.0,0.0,59.0,61.0,2.0,1587.0,'no'
45.0,0.0,89.0,-3.0,44.0,0.0,44.0,45.0,0.0,47.0,'no'
40.0,-4.0,109.0,0.0,38.0,-1.0,68.0,70.0,2.0,5810.0,'no'
56.0,0.0,77.0,0.0,18.0,30.0,22.0,59.0,38.0,11139.0,'no'
37.0,0.0,80.0,3.0,2.0,0.0,43.0,77.0,34.0,919.0,'no'
37.0,0.0,95.0,0.0,28.0,0.0,58.0,67.0,8.0,5551.0,'no'
45.0,0.0,79.0,0.0,46.0,22.0,33.0,32.0,0.0,3260.0,'no'
53.0,0.0,88.0,0.0,52.0,-2.0,35.0,37.0,2.0,1781.0,'no'
56.0,1.0,88.0,0.0,56.0,0.0,31.0,31.0,0.0,1062.0,'no'
43.0,0.0,81.0,8.0,44.0,30.0,38.0,37.0,0.0,3680.0,'no'
43.0,0.0,89.0,0.0,42.0,-4.0,46.0,48.0,2.0,9962.0,'no'
43.0,-1.0,79.0,0.0,44.0,28.0,35.0,35.0,0.0,11024.0,'no'
37.0,0.0,92.0,0.0,18.0,2.0,55.0,74.0,20.0,602.0,'no'
37.0,0.0,78.0,0.0,20.0,-6.0,41.0,57.0,16.0,11746.0,'no'
46.0,1.0,81.0,0.0,46.0,13.0,35.0,35.0,0.0,14314.0,'no'
50.0,-3.0,101.0,-4.0,50.0,0.0,51.0,52.0,0.0,6578.0,'no'
56.0,0.0,96.0,0.0,52.0,15.0,40.0,44.0,4.0,10199.0,'no'
71.0,-8.0,75.0,-5.0,-40.0,7.0,4.0,116.0,112.0,11498.0,'no'
55.0,2.0,82.0,0.0,54.0,-6.0,26.0,28.0,2.0,5.0,'no'
51.0,0.0,83.0,5.0,52.0,0.0,31.0,31.0,0.0,11151.0,'no'
42.0,0.0,80.0,-1.0,42.0,0.0,38.0,39.0,2.0,665.0,'no'
37.0,0.0,77.0,0.0,6.0,13.0,40.0,72.0,32.0,12994.0,'no'
44.0,4.0,86.0,3.0,42.0,-6.0,42.0,44.0,2.0,8576.0,'no'
37.0,4.0,75.0,0.0,34.0,0.0,37.0,41.0,4.0,4014.0,'no'
56.0,-1.0,98.0,7.0,46.0,0.0,42.0,51.0,10.0,9528.0,'no'
51.0,0.0,83.0,0.0,50.0,-12.0,32.0,33.0,2.0,6336.0,'no'
37.0,0.0,78.0,0.0,2.0,-19.0,41.0,75.0,34.0,5836.0,'no'
37.0,0.0,94.0,0.0,10.0,-7.0,57.0,84.0,26.0,9206.0,'no'
55.0,0.0,79.0,0.0,12.0,-3.0,23.0,66.0,42.0,933.0,'no'
45.0,3.0,77.0,0.0,44.0,-1.0,32.0,34.0,2.0,9083.0,'no'
53.0,-2.0,81.0,0.0,54.0,0.0,28.0,27.0,0.0,5538.0,'no'
41.0,0.0,77.0,2.0,42.0,3.0,36.0,36.0,0.0,13972.0,'no'
41.0,0.0,87.0,6.0,38.0,-4.0,46.0,48.0,2.0,10161.0,'no'
45.0,-2.0,77.0,0.0,44.0,0.0,32.0,33.0,0.0,7444.0,'no'
44.0,1.0,86.0,1.0,44.0,11.0,42.0,42.0,0.0,11774.0,'no'
45.0,2.0,83.0,0.0,44.0,0.0,39.0,39.0,0.0,626.0,'no'
49.0,0.0,88.0,0.0,50.0,20.0,39.0,39.0,0.0,3423.0,'no'
44.0,3.0,82.0,0.0,42.0,-14.0,38.0,41.0,2.0,12096.0,'no'
38.0,3.0,76.0,0.0,38.0,19.0,38.0,37.0,0.0,5198.0,'no'
57.0,3.0,75.0,13.0,0.0,1.0,18.0,75.0,56.0,7170.0,'no'
55.0,0.0,89.0,0.0,56.0,29.0,34.0,32.0,0.0,312.0,'no'
37.0,-1.0,94.0,0.0,10.0,18.0,57.0,84.0,26.0,12851.0,'no'
37.0,0.0,75.0,-3.0,24.0,-16.0,38.0,52.0,14.0,10991.0,'no'
48.0,0.0,88.0,0.0,46.0,-1.0,39.0,41.0,2.0,4867.0,'no'
46.0,0.0,100.0,-2.0,46.0,0.0,54.0,53.0,0.0,13566.0,'no'
51.0,-4.0,102.0,0.0,50.0,-18.0,51.0,53.0,2.0,8989.0,'no'
41.0,1.0,78.0,0.0,42.0,12.0,37.0,37.0,0.0,9120.0,'no'
55.0,-1.0,96.0,0.0,52.0,0.0,41.0,44.0,4.0,6864.0,'no'
54.0,-5.0,77.0,-22.0,-4.0,-30.0,23.0,82.0,60.0,5842.0,'no'
37.0,0.0,106.0,2.0,24.0,-18.0,69.0,83.0,14.0,12026.0,'no'
47.0,-1.0,76.0,-4.0,46.0,-6.0,30.0,30.0,0.0,1246.0,'no'
44.0,6.0,93.0,0.0,44.0,2.0,49.0,50.0,0.0,6421.0,'no'
37.0,0.0,76.0,-7.0,24.0,8.0,39.0,52.0,14.0,5576.0,'no'
49.0,0.0,111.0,0.0,46.0,-30.0,62.0,64.0,2.0,14255.0,'no'
55.0,0.0,79.0,0.0,20.0,16.0,23.0,58.0,34.0,3667.0,'no'
44.0,0.0,83.0,0.0,42.0,-11.0,39.0,41.0,2.0,325.0,'no'
38.0,4.0,106.0,0.0,34.0,0.0,68.0,72.0,4.0,7574.0,'no'
79.0,0.0,83.0,0.0,98.0,8098.0,4.0,-14.0,-18.0,12081.0,'no'
49.0,0.0,87.0,0.0,50.0,2.0,38.0,38.0,0.0,7230.0,'no'
56.0,3.0,84.0,0.0,56.0,16.0,29.0,28.0,0.0,12681.0,'no'
